Cell_Name,KPI,Accuracy (%),MAE,Data_Mean,RMSE,MAPE_Ref (%)
enodebJ3,prb_dl_used,67.95,39.12,122.06,57.02,1366146087671.79
enodebB11B071,avg_rrc_connected_user,67.71,5.05,15.65,6.38,77822844264.4
enodebA61B281,prb_dl_used,67.67,92.47,285.99,125.01,2383609294927.69
enodebB12B011,prb_dl_used,67.52,56.33,173.42,79.04,1704858938887.8
enodebD31B011,prb_dl_used,67.25,83.47,254.9,116.58,2222798983282.93
enodebB8,prb_dl_used,67.2,49.36,150.49,70.14,872803847027.27
enodebD41B281,ps_traffic_mb,67.06,234.78,712.66,291.66,9668510913881.09
enodebA2,prb_dl_used,66.81,42.63,128.44,59.55,1979317824072.51
enodebB11B071,prb_dl_used,66.74,47.28,142.16,70.16,1109492619867.12
enodebF111,ps_traffic_mb,66.57,203.6,608.99,267.26,2542082786615.22
enodebJ81B281,prb_dl_used,66.55,42.91,128.31,59.78,1179023265870.4
enodebD41B281,prb_dl_used,66.28,186.23,552.29,230.92,5471254030896.29
enodebF112,prb_dl_used,66.16,46.39,137.06,66.97,947607398058.85
enodebF3,ps_traffic_mb,65.89,289.45,848.66,397.51,5499096552583.29
enodebH71B281,prb_dl_used,65.78,34.78,101.64,49.62,1235721945793.77
enodebD61B281,ps_traffic_mb,65.65,170.27,495.72,269.57,2729787826713.52
enodebF1,prb_dl_used,65.53,99.34,288.21,146.75,843509991992.64
enodebA2,ps_traffic_mb,65.34,149.44,431.17,203.6,2781180063936.5
enodebG8,avg_rrc_connected_user,64.99,1.06,3.03,1.32,31961652197.76
enodebF91B281,prb_dl_used,64.5,108.44,305.49,149.46,4029501517656.21
enodebG1,ps_traffic_mb,64.24,178.97,500.51,241.07,2103848139485.16
enodebI91B281,prb_dl_used,64.05,65.22,181.44,94.55,2290868997607.14
enodebA41B281,prb_dl_used,63.84,153.76,425.2,248.85,3089862823515.86
enodebE61B281,prb_dl_used,63.65,177.97,489.58,259.9,2505355199214.93
enodebJ91B281,prb_dl_used,63.16,48.23,130.92,78.17,1489787896502.49
enodebB1,ps_traffic_mb,63.15,876.89,2379.82,1188.15,30276073455872.83
enodebH8,ps_traffic_mb,63.11,258.2,699.97,356.36,1031298319812.32
enodebG2,ps_traffic_mb,63.02,244.8,661.97,380.93,961719513027.29
enodebC3,prb_dl_used,62.9,107.1,288.67,160.01,2175375461607.31
enodebF122,prb_dl_used,62.76,44.33,119.04,64.69,1917073090906.62
enodebA1,prb_dl_used,62.65,61.01,163.33,82.6,3395485639607.0
enodebI1,avg_rrc_connected_user,62.48,1.09,2.9,1.37,8616079985.01
enodebD61B281,prb_dl_used,62.45,183.33,488.22,234.53,2594029903447.98
enodebJ2,ps_traffic_mb,62.13,79.58,210.17,114.5,776987234957.26
enodebA51B281,prb_dl_used,62.07,167.26,440.99,201.54,4282490730330.1
enodebD31B011,ps_traffic_mb,61.92,206.52,542.28,290.21,1502159118689.9
enodebC1131B031,prb_dl_used,61.91,75.55,198.34,127.45,1815239747396.21
enodebF1,ps_traffic_mb,61.83,550.38,1441.94,891.9,1919766108235.54
enodebB12B071,avg_rrc_connected_user,61.43,1.45,3.77,2.35,9045136517.2
enodebA51B281,avg_rrc_connected_user,61.16,4.61,11.86,5.56,203486174382.03
enodebD7,ps_traffic_mb,61.08,127.27,327.0,156.79,1581498146144.62
enodebF31B011,ps_traffic_mb,61.02,409.2,1049.88,582.72,2592231750539.67
enodebA1121B031,ps_traffic_mb,60.97,214.01,548.32,304.86,3873582204223.39
enodebE11B011,prb_dl_used,60.56,49.8,126.26,81.57,1778368353871.2
enodebA41B281,ps_traffic_mb,59.99,239.29,598.06,356.42,2598181724590.15
enodebD51B281,ps_traffic_mb,59.41,239.79,590.79,313.81,3968660672543.69
enodebE61B281,ps_traffic_mb,59.33,145.49,357.71,204.36,1533938408256.95
enodebA61B281,ps_traffic_mb,59.04,120.72,294.72,154.47,2553366979017.27
enodebD3,prb_dl_used,58.39,140.88,338.56,176.52,2077512105344.98
enodebD51B281,prb_dl_used,58.33,191.54,459.64,254.87,3219353516929.92
enodebF122,ps_traffic_mb,58.24,164.84,394.7,227.55,790402412602.69
enodebF91B281,ps_traffic_mb,57.64,210.79,497.65,269.32,6144258181334.11
enodebB7,avg_rrc_connected_user,57.49,15.94,37.51,29.3,81503709205.33
enodebB7,ps_traffic_mb,56.76,624.54,1444.25,1035.03,1534250895306.32
enodebC1131B031,ps_traffic_mb,56.66,145.87,336.56,223.49,372868537973.12
enodebH7,ps_traffic_mb,56.04,60.28,137.12,94.96,49460332115.92
enodebB8,ps_traffic_mb,54.95,194.32,431.34,279.35,2543000857232.88
enodebJ7,ps_traffic_mb,54.7,219.46,484.45,311.13,459038098726.86
enodebI91B281,ps_traffic_mb,54.21,86.8,189.57,114.48,2043393850835.85
enodebF112,ps_traffic_mb,54.12,283.43,617.79,402.56,1466237704110.95
enodebC3,ps_traffic_mb,53.95,293.19,636.68,411.31,3844407399542.41
enodebG7,avg_rrc_connected_user,53.9,1.11,2.4,1.32,373629303.18
enodebC1121B031,prb_dl_used,53.56,88.92,191.46,131.25,2452610492748.25
enodebB11B073,avg_rrc_connected_user,53.53,0.25,0.54,0.39,4152222955.5
enodebE31B011,ps_traffic_mb,53.41,104.68,224.69,150.44,826359035857.11
enodebA51B281,ps_traffic_mb,52.92,240.84,511.59,289.82,6024395624853.5
enodebJ9,ps_traffic_mb,52.88,153.36,325.47,266.27,8188883541.19
enodebJ3,ps_traffic_mb,52.0,167.84,349.68,230.16,2335332234772.66
enodebH71B281,ps_traffic_mb,51.75,86.53,179.34,116.44,111182531597.36
enodebH2,avg_rrc_connected_user,51.64,1.14,2.35,1.45,23828469307.35
enodebJ81B281,ps_traffic_mb,51.27,76.12,156.21,115.88,125744819882.25
enodebD3,ps_traffic_mb,51.05,476.16,972.69,626.93,4096070925439.13
enodebF1111B011,prb_dl_used,50.89,50.78,103.41,67.78,1023096243593.03
enodebF11B011,ps_traffic_mb,50.61,178.26,360.9,278.79,616750081760.58
enodebJ91B281,ps_traffic_mb,50.45,114.15,230.37,171.09,995103518222.34
enodebB11B071,ps_traffic_mb,49.94,214.12,427.75,286.69,2906369846167.67
enodebC1121B031,ps_traffic_mb,48.09,148.44,285.97,220.78,1092794736321.41
enodebB12B011,ps_traffic_mb,48.02,175.33,337.28,223.3,2802474339906.64
enodebH3,avg_rrc_connected_user,47.86,0.37,0.7,0.5,7673531304.09
enodebG9,ps_traffic_mb,45.73,127.41,234.79,179.3,1988301754505.42
enodebGA9,ps_traffic_mb,45.53,126.92,233.03,182.08,20082156018.83
enodebF121,ps_traffic_mb,45.12,147.51,268.78,254.19,1382814566949.92
enodebF1121B011,ps_traffic_mb,45.11,101.9,185.64,156.2,385980209527.23
enodebE11B011,ps_traffic_mb,44.03,154.91,276.78,231.05,19279162369.58
enodebB11B072,avg_rrc_connected_user,43.84,0.39,0.7,0.59,6560867121.54
enodebA1,ps_traffic_mb,42.6,249.03,433.85,355.42,14650317192244.51
enodebH81B281,ps_traffic_mb,39.73,180.34,299.22,441.35,6364397208399.24
enodebF1111B011,ps_traffic_mb,37.38,271.03,432.82,398.49,179.36
enodebI2,ps_traffic_mb,35.96,44.12,68.9,80.13,324361960197.35
enodebG7,ps_traffic_mb,26.41,66.85,90.84,94.75,1945.82
enodebI1,ps_traffic_mb,22.93,46.13,59.85,72.93,86488167869.86
enodebB12B071,ps_traffic_mb,22.68,62.51,80.85,99.36,534.04
enodebC1,ps_traffic_mb,19.55,44.8,55.68,84.66,123577199477.03
enodebG8,ps_traffic_mb,14.32,50.31,58.72,72.82,125697137203.52
enodebB11B072,ps_traffic_mb,11.27,20.85,23.5,35.78,198925735371.78
enodebH3,ps_traffic_mb,0.3,13.08,13.12,17.95,338220917800.65
enodebH2,ps_traffic_mb,0.0,64.0,61.43,92.52,561376255965.82
enodebB12B073,ps_traffic_mb,0.0,2.84,2.69,11.94,25189703665.85
enodebB11B073,ps_traffic_mb,0.0,23.42,22.58,112.45,108445983613.15
enodebB12B072,ps_traffic_mb,0.0,1.63,1.23,4.62,113919468082.38
