Cell_Name,KPI,MAE,RMSE,MAPE (%),Accuracy (%),Data_Mean
enodebA1121B031,ps_traffic_mb,214.01,304.86,3873582204223.39,0,548.32
enodebA1121B031,avg_rrc_connected_user,7.06,8.33,221758763025.39,0,22.92
enodebA1121B031,prb_dl_used,98.92,136.49,2065857887295.71,0,369.34
enodebJ3,ps_traffic_mb,167.84,230.16,2335332234772.66,0,349.68
enodebJ3,avg_rrc_connected_user,3.71,5.18,119369645935.35,0,13.61
enodebJ3,prb_dl_used,39.12,57.02,1366146087671.79,0,122.06
enodebG2,ps_traffic_mb,244.8,380.93,961719513027.29,0,661.97
enodebG2,avg_rrc_connected_user,4.71,5.99,146519025186.41,0,20.55
enodebG2,prb_dl_used,50.81,73.03,954089403177.52,0,168.41
enodebB12B074,prb_dl_used,2.31,7.32,828507224720.93,0,65.39
enodebG1,ps_traffic_mb,178.97,241.07,2103848139485.16,0,500.51
enodebG1,avg_rrc_connected_user,1.83,2.34,100876688970.24,0,13.27
enodebG1,prb_dl_used,44.05,61.99,1062994798050.67,0,147.47
enodebB11B071,ps_traffic_mb,214.12,286.69,2906369846167.67,0,427.75
enodebB11B071,avg_rrc_connected_user,5.05,6.38,77822844264.4,0,15.65
enodebB11B071,prb_dl_used,47.28,70.16,1109492619867.12,0,142.16
enodebB12B073,ps_traffic_mb,2.84,11.94,25189703665.85,0,2.69
enodebB12B073,prb_dl_used,2.33,7.31,827487866086.01,0,65.39
enodebB12B031,ps_traffic_mb,191.54,262.02,6807044665053.79,0,673.17
enodebB12B031,avg_rrc_connected_user,2.49,3.33,208533177784.72,0,20.26
enodebB12B031,prb_dl_used,63.82,93.34,1797966639225.12,0,286.67
enodebE1,prb_dl_used,3.01,10.07,1565486550333.25,0,64.69
enodebD51B281,ps_traffic_mb,239.79,313.81,3968660672543.69,0,590.79
enodebD51B281,avg_rrc_connected_user,3.48,4.05,116435130462.8,0,12.8
enodebD51B281,prb_dl_used,191.54,254.87,3219353516929.92,0,459.64
enodebI1,ps_traffic_mb,46.13,72.93,86488167869.86,0,59.85
enodebI1,avg_rrc_connected_user,1.09,1.37,8616079985.01,0,2.9
enodebI1,prb_dl_used,15.42,25.18,688685536400.28,0,76.74
enodebJ31B012,prb_dl_used,2.3,7.31,830616831781.66,0,65.39
enodebD31B011,ps_traffic_mb,206.52,290.21,1502159118689.9,0,542.28
enodebD31B011,avg_rrc_connected_user,1.7,2.13,99709664803.99,0,8.21
enodebD31B011,prb_dl_used,83.47,116.58,2222798983282.93,0,254.9
enodebF2,ps_traffic_mb,258.82,357.38,11168698946676.29,0,882.97
enodebF2,avg_rrc_connected_user,2.8,3.37,213691651834.29,0,22.27
enodebF2,prb_dl_used,51.04,72.32,1885509729408.0,0,196.12
enodebF112,ps_traffic_mb,283.43,402.56,1466237704110.95,0,617.79
enodebF112,avg_rrc_connected_user,3.07,3.78,134113992272.94,0,14.56
enodebF112,prb_dl_used,46.39,66.97,947607398058.85,0,137.06
enodebG31B012,prb_dl_used,4.69,9.01,673357446993.88,0,67.37
